transaction_id,company_id,transaction_date,transaction_type,transaction_amount,transaction_currency
636853,1651,2022-07-31,Dividend,667832.64,EUR
948884,9322,2022-02-23,Sell,3560307.15,GBP
945872,4539,2024-07-19,Dividend,4893894.75,USD
886103,5749,2023-09-04,Sell,4425812.3,GBP
727658,2901,2024-02-25,Buy,1754514.02,GBP
196185,1165,2023-12-28,Sell,2927312.27,USD
295713,4896,2024-07-11,Buy,4051262.53,JPY
138250,5249,2024-09-22,Sell,2651463.38,GBP
374212,1735,2023-09-28,Buy,4896755.0,JPY
261230,1926,2024-08-10,Split,1921858.58,USD
849470,1008,2022-08-24,Sell,2191555.92,EUR
583530,3934,2022-03-01,Dividend,4929602.84,JPY
792111,1435,2021-11-30,Sell,39191.57,GBP
323207,8576,2024-06-15,Buy,509976.51,EUR
805854,5990,2022-06-16,Split,4052566.91,USD
302942,7166,2024-03-08,Buy,2084080.16,JPY
204076,8513,2022-05-16,Buy,4653156.57,EUR
683930,5097,2022-05-09,Dividend,3187444.17,JPY
673688,5713,2024-03-05,Split,143240.72,GBP
568409,5004,2022-12-20,Buy,2395454.88,GBP
529097,8797,2024-07-06,Dividend,4481362.59,GBP
869004,7415,2023-11-25,Dividend,4496750.09,USD
970231,2733,2023-03-28,Buy,1788460.57,GBP
980089,5464,2024-05-08,Dividend,4895695.96,GBP
208653,4567,2022-07-02,Buy,2162776.43,GBP
534892,8721,2024-01-21,Sell,1953994.71,JPY
305972,7401,2024-05-04,Split,4594267.39,JPY
255314,2089,2022-09-15,Buy,2427510.06,EUR
376842,5705,2022-08-30,Buy,1593837.1,USD
595396,6735,2022-05-16,Sell,3421591.69,EUR
776314,1767,2023-01-20,Split,567715.31,JPY
117299,5007,2023-08-21,Split,4611351.08,USD
381017,5957,2023-11-25,Split,3404590.48,JPY
500677,4780,2021-10-24,Split,4977000.77,GBP
564468,2194,2024-02-20,Split,1419212.57,JPY
861393,4798,2024-05-18,Split,868552.11,JPY
139574,1082,2023-08-25,Dividend,2052356.2,JPY
429063,8817,2022-01-01,Split,372796.15,GBP
390810,2217,2024-04-05,Dividend,3586049.36,USD
526405,7008,2022-05-04,Sell,4513965.61,EUR
516540,9470,2022-12-30,Split,3827352.78,GBP
827251,8425,2023-08-01,Sell,1085612.19,EUR
360172,5386,2024-08-13,Sell,4071569.12,GBP
164903,2288,2022-08-07,Buy,2906538.89,GBP
356352,2640,2021-12-22,Split,4645904.81,JPY
651706,3934,2021-11-15,Split,3811400.64,JPY
228344,3572,2022-05-31,Sell,288660.95,EUR
673319,3572,2022-11-04,Buy,2734427.18,GBP
885922,7415,2022-06-22,Dividend,3935110.51,JPY
777567,3461,2022-10-11,Split,2354124.27,JPY
531541,9255,2023-05-03,Buy,3599932.07,GBP
931218,8460,2024-06-30,Dividend,257162.85,GBP
303090,8576,2021-10-07,Dividend,996913.53,USD
231855,6726,2021-11-27,Sell,1827209.88,USD
831579,7132,2023-08-27,Sell,4809060.01,JPY
804498,1882,2023-07-25,Split,1391024.99,GBP
681635,4363,2023-02-16,Split,1359275.27,GBP
588100,1807,2023-12-22,Split,2915780.45,EUR
828929,8817,2022-05-05,Dividend,539412.39,EUR
777324,3776,2024-08-03,Dividend,3941349.44,EUR
481995,8343,2022-10-17,Sell,698024.54,JPY
343550,5097,2021-10-20,Split,60136.63,USD
966327,2733,2022-03-14,Split,3645597.72,EUR
899690,3572,2022-05-25,Dividend,1039624.98,USD
193678,6685,2023-08-11,Sell,648813.4,GBP
924640,7231,2022-01-19,Sell,1769221.63,JPY
716624,4002,2024-04-03,Sell,2215980.82,USD
955245,6115,2022-06-19,Sell,4563769.83,JPY
409407,7132,2022-02-27,Split,568574.53,EUR
627131,7165,2024-02-19,Buy,3232974.27,GBP
770852,4461,2023-01-28,Buy,3264278.92,EUR
115242,4002,2022-12-01,Split,942613.77,EUR
669180,8622,2024-02-21,Dividend,1842040.99,GBP
802552,8721,2023-01-01,Sell,1985302.33,GBP
179355,5770,2022-07-20,Sell,853367.78,USD
756180,6318,2023-07-23,Buy,4924930.53,GBP
589044,4084,2024-07-19,Buy,3123490.42,JPY
910541,9474,2023-05-22,Sell,1528348.84,EUR
913868,1179,2024-02-22,Buy,1927042.87,EUR
183192,4399,2022-10-27,Split,3999970.07,EUR
782345,4896,2023-07-11,Sell,4792765.55,EUR
615461,9128,2024-05-15,Buy,2853754.01,GBP
813623,2692,2023-12-14,Split,1973456.19,EUR
652255,4243,2021-11-16,Dividend,3808847.52,GBP
205860,9470,2024-02-17,Dividend,3378979.59,USD
725889,7439,2022-06-30,Split,1924966.04,JPY
828032,1103,2023-05-16,Buy,3970421.09,JPY
852970,1103,2024-05-20,Dividend,2745399.92,EUR
511718,8992,2024-07-17,Sell,496410.78,EUR
585639,5685,2023-06-25,Buy,2686692.6,GBP
350073,8989,2024-07-25,Buy,4322202.34,USD
926133,7439,2024-07-05,Dividend,2888088.35,EUR
895522,5484,2023-10-06,Dividend,3045234.99,USD
670859,1208,2023-02-12,Sell,4425307.85,JPY
956850,5071,2024-09-06,Split,4527898.1,GBP
608084,2733,2023-03-15,Split,1939250.93,JPY
361428,1461,2022-09-19,Sell,3166398.55,GBP
327512,7771,2022-06-29,Sell,1722019.21,GBP
637256,7732,2023-07-14,Buy,2121572.39,GBP
641760,7011,2021-10-21,Split,361419.57,EUR
577212,9012,2023-06-28,Buy,3901654.81,USD
268437,9309,2023-07-09,Split,409806.17,EUR
973163,2711,2023-07-10,Split,21089.74,JPY
120600,3776,2024-08-08,Dividend,416129.4,JPY
733286,4567,2022-03-17,Split,436922.42,JPY
432885,2085,2023-08-14,Sell,3683761.41,GBP
190289,2929,2023-03-11,Buy,755056.28,USD
985290,3051,2024-07-28,Buy,628825.29,EUR
856383,1376,2023-02-16,Sell,4270403.83,JPY
283121,5785,2022-01-13,Dividend,657866.22,JPY
573596,7036,2022-11-12,Sell,3963416.29,EUR
556092,8026,2022-05-21,Buy,880249.01,GBP
513591,4059,2022-05-03,Split,2708345.6,GBP
896908,1768,2023-06-27,Split,4051662.34,GBP
221925,8725,2022-03-31,Split,259940.67,GBP
489343,1954,2023-02-28,Buy,1990650.56,EUR
493104,9644,2022-05-03,Buy,287420.06,USD
459931,4309,2023-07-21,Buy,2366187.75,GBP
335187,3593,2024-08-07,Sell,3181918.33,JPY
459650,2426,2022-12-13,Dividend,1833812.12,USD
410903,5171,2024-05-18,Buy,2476679.41,GBP
528582,7204,2023-07-21,Dividend,1968387.05,GBP
816225,9596,2023-03-30,Sell,2075528.94,USD
517276,7263,2023-05-01,Dividend,4370655.08,EUR
499940,1148,2023-03-20,Dividend,1733166.47,USD
233123,6280,2022-06-22,Split,3382517.29,EUR
923422,8036,2021-10-23,Buy,409720.88,GBP
775488,7439,2021-11-16,Sell,4019296.65,EUR
437605,5592,2022-11-16,Sell,526367.91,GBP
408889,1977,2021-11-19,Buy,1889413.88,EUR
839816,4939,2024-01-07,Sell,2381836.65,USD
353366,9435,2024-05-16,Split,3581606.42,USD
683008,7036,2021-12-07,Buy,3446051.23,USD
338708,6023,2022-03-19,Dividend,4321448.76,EUR
463843,6319,2023-01-26,Dividend,4026872.89,USD
752236,3072,2022-02-06,Split,4230144.69,EUR
471050,5007,2022-10-23,Split,2781841.57,GBP
910495,7231,2024-06-17,Buy,3272428.93,EUR
415879,2045,2023-02-11,Split,2613104.72,USD
263183,1882,2022-09-18,Sell,4534727.39,GBP
157731,8860,2022-06-24,Buy,2145308.42,JPY
818193,7403,2024-05-08,Buy,918162.67,EUR
353374,5525,2023-06-19,Split,2071967.38,EUR
503082,9435,2021-10-31,Sell,2641415.22,USD
128641,9004,2023-11-04,Split,2755547.41,JPY
624965,1473,2023-07-24,Dividend,4796755.64,EUR
917806,6324,2022-05-26,Split,255886.14,EUR
375813,4165,2022-01-06,Sell,3134963.41,EUR
578738,5336,2023-09-06,Dividend,3075853.35,GBP
662333,2085,2021-12-26,Dividend,3571766.34,USD
538930,9399,2021-11-08,Buy,2696012.73,JPY
927584,8350,2021-12-25,Buy,2761190.5,JPY
832149,1008,2022-12-16,Dividend,3362211.36,USD
864943,6290,2023-10-17,Split,963744.67,JPY
449235,3023,2024-09-11,Split,4585149.28,EUR
940154,8773,2022-08-06,Sell,109711.75,JPY
244782,8925,2024-05-19,Dividend,374504.76,GBP
748368,9951,2023-12-05,Dividend,4800941.32,EUR
612714,7095,2024-02-07,Buy,4100773.93,JPY
662884,3319,2023-01-14,Split,181291.19,JPY
823270,9672,2022-12-26,Sell,4651828.59,EUR
242145,8319,2024-05-18,Sell,90590.13,GBP
447864,6691,2022-01-24,Split,3160445.54,GBP
490062,1063,2021-11-07,Buy,3792183.41,EUR
706734,6023,2023-06-23,Split,1048904.44,GBP
464001,6688,2022-06-23,Sell,539107.6,EUR
277826,8976,2023-01-13,Sell,511794.91,EUR
778218,5592,2022-08-15,Sell,4205237.78,USD
788582,3022,2023-04-15,Dividend,1043388.04,GBP
129246,8425,2022-12-29,Dividend,4903546.37,JPY
629143,9538,2021-11-22,Dividend,2616861.32,USD
479020,4539,2022-04-01,Buy,2892311.29,USD
745919,2940,2024-02-12,Sell,2954476.11,EUR
475582,2085,2023-01-29,Sell,4952519.71,EUR
797888,8130,2023-09-07,Buy,3263360.54,GBP
851349,8036,2022-03-26,Dividend,4107785.42,USD
596675,2085,2023-08-31,Buy,3851618.23,GBP
130442,4245,2023-11-17,Dividend,4483073.7,GBP
126740,4107,2022-10-23,Buy,3585128.31,JPY
673582,8036,2022-05-05,Split,2162974.51,EUR
475613,7359,2024-05-15,Sell,1205944.16,USD
658149,9082,2023-08-26,Buy,4168683.82,GBP
556371,3291,2022-02-09,Split,4407068.78,EUR
810831,5525,2024-01-07,Split,4514495.64,USD
465225,2902,2023-01-12,Dividend,2888283.14,JPY
504128,9295,2023-03-04,Split,3591018.09,GBP
591241,1807,2022-12-06,Split,2093518.54,EUR
405308,4241,2023-03-24,Buy,1956512.81,JPY
512587,1869,2023-05-06,Buy,4906479.67,USD
500201,5459,2023-06-20,Sell,1530560.18,JPY
484421,1213,2023-08-19,Sell,3612630.52,EUR
427037,5484,2021-11-25,Dividend,1144605.02,JPY
104999,2450,2022-10-21,Dividend,26991.76,JPY
248625,6759,2023-10-01,Split,3627560.14,USD
891663,8740,2024-03-30,Sell,1114628.72,JPY
153729,5705,2024-02-02,Dividend,383852.44,USD
635433,5749,2023-01-12,Sell,1745104.0,JPY
571256,9731,2024-06-08,Dividend,93360.11,EUR
214202,2863,2022-12-13,Split,1227945.12,JPY
308087,5158,2023-09-24,Split,1311041.02,EUR
735093,5808,2022-01-23,Split,2748513.22,GBP
437875,5853,2023-06-16,Buy,3698063.03,EUR
542212,5957,2022-08-10,Dividend,1382698.98,USD
323356,3368,2022-08-09,Dividend,3908725.28,JPY
551207,8797,2024-04-20,Dividend,2091030.49,EUR
313848,9128,2024-03-22,Dividend,4257862.79,EUR
209088,1082,2021-11-17,Split,3862504.27,USD
531069,1735,2023-06-16,Sell,3710983.3,JPY
902112,7022,2023-05-16,Buy,4328997.26,USD
680622,7223,2021-10-30,Dividend,1083919.81,USD
432509,8218,2023-06-15,Sell,4955430.41,GBP
309677,1497,2022-11-29,Buy,1603541.45,JPY
177344,5068,2023-04-15,Buy,4280911.26,EUR
255200,2194,2022-06-06,Split,1795208.01,GBP
233204,5953,2024-05-10,Split,2681124.41,GBP
512734,9295,2022-02-04,Split,93055.18,JPY
966947,6080,2023-05-14,Sell,378457.73,GBP
354719,4798,2024-04-07,Dividend,3074254.33,EUR
247904,8218,2022-09-19,Buy,1179713.77,JPY
481105,3116,2024-07-29,Buy,3200340.28,JPY
633245,2857,2023-11-08,Sell,4315007.64,JPY
511098,6917,2023-10-31,Dividend,3102661.41,JPY
814676,5386,2022-11-24,Dividend,1775277.14,EUR
946929,1807,2021-12-26,Dividend,3819710.91,EUR
916386,8925,2022-10-12,Sell,425058.29,GBP
712467,7166,2022-08-23,Dividend,4726230.53,GBP
398234,2074,2021-11-30,Split,3559092.08,EUR
110560,5004,2021-11-26,Split,1892722.56,USD
585756,5957,2022-01-17,Split,4767757.25,GBP
806400,3222,2023-09-19,Buy,3718950.58,EUR
934560,1376,2023-07-19,Buy,304695.18,EUR
892902,5713,2021-11-10,Split,2497084.53,EUR
662671,4059,2024-02-16,Dividend,3533690.26,GBP
696592,9010,2021-11-27,Sell,4448158.16,GBP
614099,8460,2022-08-22,Dividend,2610360.85,GBP
942368,1308,2023-07-20,Sell,472294.78,GBP
520362,6663,2023-01-03,Split,3221013.77,USD
609894,6726,2022-01-18,Sell,4266171.94,EUR
424482,5814,2022-06-12,Sell,949007.04,USD
428733,9804,2024-08-06,Split,2790753.37,USD
837642,4363,2024-04-20,Sell,2322776.2,USD
908060,4726,2023-04-08,Sell,2767774.6,GBP
927843,1517,2022-07-02,Buy,1248720.68,JPY
408790,5157,2023-04-24,Buy,3096997.96,JPY
605697,7204,2022-03-11,Dividend,3474750.89,USD
308879,8350,2022-02-27,Dividend,1829596.95,GBP
342481,9023,2024-01-16,Sell,2252770.35,EUR
978276,8860,2023-04-25,Split,2544861.98,GBP
142191,5966,2023-09-03,Dividend,3976711.85,GBP
104122,2450,2023-02-20,Sell,3232213.5,USD
240931,5019,2023-11-21,Sell,194260.37,USD
643509,5808,2023-12-18,Dividend,2338951.8,EUR
357921,9399,2023-12-04,Sell,249708.38,JPY
690367,5157,2022-01-11,Dividend,752760.68,JPY
210486,5957,2022-01-08,Sell,4259425.86,JPY
926910,8905,2022-02-11,Split,3498773.02,GBP
965120,5478,2024-06-22,Sell,136300.89,EUR
922633,5889,2022-09-08,Split,1772504.1,USD
309478,9082,2023-10-01,Sell,479472.95,JPY
941914,4597,2023-12-11,Split,3850685.04,JPY
464197,7022,2023-11-13,Dividend,2874167.86,JPY
684445,5268,2022-09-17,Dividend,129170.91,GBP
485023,2355,2022-08-18,Sell,2922030.68,USD
491474,5604,2023-10-09,Split,3580581.67,EUR
609386,3144,2023-05-20,Buy,3548028.75,EUR
506295,9901,2022-01-03,Split,3608114.24,USD
524801,9743,2024-04-30,Sell,2743656.26,USD
952905,9719,2022-01-02,Sell,419637.95,JPY
736631,2013,2023-11-03,Buy,1866751.11,GBP
491923,3891,2021-12-30,Split,2920006.07,USD
789889,1735,2022-02-22,Split,1726866.22,USD
152420,7917,2022-08-16,Sell,1591792.07,JPY
438725,2821,2023-07-05,Split,2554784.04,JPY
782605,4900,2023-04-21,Buy,50123.88,JPY
780091,3023,2022-12-07,Split,2011084.13,GBP
114230,9442,2023-09-27,Dividend,287940.07,JPY
605073,5192,2023-10-21,Split,428736.3,GBP
423975,3791,2024-05-15,Dividend,1722843.76,GBP
870282,1082,2022-08-24,Sell,23603.43,GBP
690227,6352,2024-04-13,Split,3231722.61,EUR
684120,6541,2023-09-01,Buy,365900.44,JPY
879908,5957,2023-11-13,Split,3102464.31,EUR
911175,9787,2021-11-17,Sell,292867.14,GBP
803160,2693,2021-09-27,Split,3844806.3,USD
412630,2213,2022-05-21,Split,684361.45,USD
182718,9865,2022-07-04,Dividend,2870712.12,USD
511309,3015,2022-04-05,Dividend,1490482.42,JPY
182742,2939,2023-04-09,Dividend,1016284.0,EUR
783917,9865,2023-06-20,Sell,3439779.41,JPY
718072,9903,2021-10-23,Buy,2174747.25,USD
618028,4999,2023-08-16,Buy,2953250.77,GBP
544110,4539,2021-10-10,Split,2538545.65,GBP
770504,5894,2023-11-25,Sell,3401190.24,GBP
753803,4900,2023-01-20,Split,1755783.39,EUR
814108,9713,2022-02-24,Sell,1914783.29,JPY
501451,3040,2021-11-03,Dividend,2374404.11,EUR
768566,1735,2023-07-26,Sell,2380021.13,JPY
832783,8442,2022-10-04,Dividend,2528967.68,JPY
806984,7911,2023-11-27,Buy,4886316.67,JPY
680055,4198,2024-02-20,Split,921474.53,GBP
681485,6880,2022-04-17,Buy,1259797.67,JPY
648799,3461,2022-08-03,Split,1764915.12,EUR
505740,7072,2024-08-13,Sell,3031888.19,JPY
844817,1216,2024-05-26,Split,4387365.33,EUR
717338,4208,2022-07-28,Buy,1892563.82,USD
836087,7223,2022-02-28,Dividend,1914553.86,EUR
675959,1537,2023-10-08,Buy,1482126.65,USD
757757,9442,2024-03-02,Sell,656092.57,GBP
378417,1194,2023-01-03,Dividend,2372953.91,JPY
962972,4002,2022-05-17,Sell,3480553.74,USD
598100,9235,2021-10-22,Dividend,1191478.3,JPY
226553,9223,2022-03-12,Split,2110923.35,USD
802072,1732,2022-07-19,Buy,3470262.81,USD
316152,6965,2023-12-24,Dividend,2021919.51,JPY
804775,1947,2023-03-13,Buy,2549733.35,JPY
764705,8691,2022-03-12,Dividend,868846.75,USD
717773,7901,2022-05-25,Split,448167.53,USD
517403,5478,2022-03-08,Split,3614837.55,JPY
623466,6361,2022-07-14,Split,3730080.39,JPY
248891,8905,2022-05-11,Split,3478783.94,JPY
218225,8905,2022-06-03,Dividend,4470875.19,JPY
947451,5180,2024-03-30,Split,1864979.83,EUR
304546,9694,2022-12-13,Sell,4111004.94,EUR
635274,1286,2023-12-14,Split,1572109.65,USD
617621,5770,2022-11-12,Sell,1832966.0,USD
584029,9128,2023-02-18,Dividend,2975526.63,EUR
364561,1060,2022-02-22,Sell,3037610.28,GBP
687401,2902,2024-01-11,Dividend,4866001.26,JPY
973853,6324,2023-08-31,Sell,2991838.64,USD
674818,5974,2022-01-15,Split,4663575.12,JPY
241373,7454,2023-12-20,Buy,1887920.5,JPY
598924,8800,2024-05-27,Sell,3644470.22,GBP
400987,7165,2023-11-10,Dividend,567476.52,EUR
419786,1213,2023-06-23,Split,393607.21,JPY
721681,5770,2023-06-05,Buy,2704947.36,JPY
326428,8483,2022-08-09,Sell,2509729.51,JPY
859095,9004,2023-07-18,Dividend,902931.75,USD
274856,3572,2022-07-30,Dividend,2634426.78,USD
867182,3498,2023-08-29,Dividend,1971588.41,EUR
158938,7256,2021-10-15,Sell,402125.92,EUR
698998,7898,2023-07-07,Dividend,3250297.08,USD
797822,3023,2022-03-03,Split,1714824.43,EUR
783522,8905,2024-03-26,Split,744765.32,EUR
580220,3030,2022-10-06,Dividend,54251.75,EUR
202750,8460,2022-08-10,Sell,1782078.72,USD
479668,7470,2022-07-13,Sell,1950906.3,JPY
438741,5575,2022-04-15,Sell,3017545.29,EUR
767805,9441,2022-12-31,Dividend,2346470.16,EUR
201694,4735,2024-09-02,Sell,15940.19,JPY
709469,8011,2023-10-23,Split,1905007.31,USD
538358,4241,2021-10-21,Dividend,4995398.15,EUR
611681,4107,2024-06-16,Sell,4307779.47,USD
217823,2785,2021-12-24,Split,4909733.01,USD
379991,3023,2023-08-08,Split,3032315.69,USD
222783,3050,2023-03-24,Sell,1287504.9,GBP
118037,2901,2024-02-28,Sell,3719442.46,GBP
720816,9910,2022-07-22,Split,2599049.4,JPY
531258,4127,2023-11-16,Buy,2818676.81,GBP
693411,1732,2023-07-13,Sell,2561971.86,GBP
976337,6284,2023-07-06,Sell,3537664.52,JPY
318260,9713,2022-02-14,Buy,3365440.94,GBP
415484,8721,2024-03-04,Dividend,1036376.57,EUR
739136,1063,2023-02-23,Buy,2332284.6,GBP
608336,2450,2023-07-24,Dividend,2783291.79,EUR
810697,5288,2022-01-01,Buy,4805542.22,JPY
730973,3022,2022-11-20,Split,1280835.22,JPY
701454,4717,2023-08-07,Split,4563065.72,JPY
863462,9619,2022-11-01,Sell,4901424.23,USD
318074,4127,2022-08-22,Buy,4772776.26,GBP
160751,7008,2024-01-13,Buy,1003389.98,GBP
330843,2672,2023-09-16,Buy,2556035.75,JPY
761432,8989,2024-08-24,Sell,3601585.57,GBP
968817,2785,2024-07-24,Buy,1241188.06,JPY
664763,5990,2022-07-27,Sell,1435523.53,GBP
301404,6685,2022-05-28,Sell,2911093.76,GBP
823717,9865,2023-10-18,Sell,3062173.2,USD
845495,8576,2022-03-16,Sell,1840677.25,JPY
515645,2984,2023-07-28,Split,2079642.04,GBP
250054,2902,2023-07-22,Sell,615499.65,GBP
362478,5966,2022-11-22,Split,2078249.08,JPY
643674,3308,2023-04-06,Sell,2388201.97,USD
206745,5853,2022-08-25,Split,4168224.45,EUR
564164,7670,2022-04-26,Dividend,4489513.2,USD
788445,1479,2023-01-05,Split,4772662.32,USD
645413,8442,2024-07-30,Dividend,2611818.06,EUR
313675,8460,2024-08-27,Split,2686739.75,JPY
387543,6917,2022-11-25,Dividend,3532792.46,JPY
715613,8483,2022-10-01,Sell,2188498.82,GBP
479389,9787,2023-10-19,Sell,1147193.08,JPY
101246,2692,2024-06-02,Buy,791403.05,USD
730889,8442,2023-09-09,Sell,4003279.61,JPY
903772,9317,2022-11-01,Buy,2241753.14,USD
122210,9082,2022-08-12,Split,1443679.68,USD
800499,8030,2023-08-04,Buy,4239691.86,EUR
539377,6318,2024-08-19,Dividend,1669811.41,JPY
691395,2213,2022-10-20,Split,596170.01,GBP
289722,6284,2024-06-15,Buy,2400824.99,USD
755715,2711,2022-06-08,Buy,2556397.66,USD
927037,5785,2022-10-01,Dividend,2147550.48,GBP
773576,8970,2023-11-01,Sell,1650650.92,EUR
421507,7942,2024-06-08,Split,166868.06,EUR
958920,7223,2022-12-13,Split,418730.72,JPY
