volume_id,company_id,date,buy_volume,sell_volume,net_volume
265754,3116,2024-06-14,46535,9565,36970
661635,9055,2023-02-17,9247,32979,-23732
629933,1497,2021-10-12,89209,50168,39041
839824,9441,2023-05-24,35569,95011,-59442
980074,7223,2023-03-29,4980,83525,-78545
648589,4363,2024-04-08,39290,20281,19009
337520,8773,2023-07-27,42839,46394,-3555
343875,6880,2023-06-21,8874,41635,-32761
296570,7771,2021-12-06,62758,45751,17007
837145,2611,2022-04-10,12604,51449,-38845
273309,7225,2024-03-25,21807,54416,-32609
796485,7152,2023-04-25,29903,23937,5966
828148,5988,2023-03-10,21715,37249,-15534
623279,1768,2022-04-18,54862,47150,7712
174040,5575,2021-10-09,61533,43418,18115
286574,6541,2023-06-01,24216,61565,-37349
646856,3559,2023-05-16,55467,17339,38128
507869,4574,2024-05-23,12347,97357,-85010
681585,5249,2023-12-20,77238,29276,47962
758607,2355,2024-04-22,59421,8402,51019
495183,2398,2024-05-01,55853,23563,32290
153906,2074,2022-05-15,90705,53087,37618
282826,7209,2023-09-09,15183,54830,-39647
583351,5889,2022-08-11,67625,39798,27827
884769,9865,2023-11-10,87009,20903,66106
970483,4689,2022-07-24,38580,60128,-21548
675880,2693,2024-04-12,82503,58925,23578
603318,5071,2023-11-07,63065,97666,-34601
628468,9004,2024-08-18,93858,69377,24481
508370,1479,2022-06-02,79443,44198,35245
705176,9128,2023-12-06,31151,79313,-48162
467837,2074,2023-05-01,58679,89325,-30646
357235,8130,2022-03-26,83393,63136,20257
917913,7635,2024-05-13,22725,48794,-26069
782034,6332,2022-08-15,32502,60640,-28138
212493,4208,2021-10-02,21138,93694,-72556
606629,7415,2023-06-13,23677,60441,-36764
934387,6324,2024-08-23,56591,8826,47765
490676,1566,2022-11-27,34110,59632,-25522
658602,5817,2023-11-25,76396,53829,22567
251191,9713,2024-07-31,73089,90076,-16987
106710,3776,2022-01-11,75187,97445,-22258
474774,9865,2023-10-10,6977,68528,-61551
772469,6937,2022-03-08,53901,87015,-33114
142011,6347,2023-05-28,18427,42282,-23855
637452,1302,2021-11-04,6446,54008,-47562
116710,5592,2022-09-27,89341,96687,-7346
149352,5459,2023-12-04,21813,46147,-24334
942230,4208,2024-07-23,38879,83797,-44918
769759,3714,2022-04-09,80778,94267,-13489
388515,2857,2024-07-06,56794,85163,-28369
326889,1882,2023-07-04,25625,20438,5187
935860,1479,2022-12-21,50327,76471,-26144
332195,8030,2022-12-04,78135,20566,57569
740418,3267,2024-09-21,79976,68693,11283
668256,5941,2024-03-23,2270,22883,-20613
210297,7359,2023-02-06,85372,71248,14124
844498,7223,2022-01-05,78733,93239,-14506
650057,9841,2022-12-07,49443,93860,-44417
897066,1473,2024-06-23,66891,55915,10976
977092,9694,2023-03-02,78503,99585,-21082
154931,9951,2023-03-10,40217,82845,-42628
492437,8218,2024-07-18,12683,45249,-32566
729250,9535,2022-04-24,37403,2337,35066
261812,3292,2021-11-28,30135,64275,-34140
670795,5071,2022-05-31,14277,11034,3243
426527,8576,2022-08-12,50771,36939,13832
483893,1016,2024-09-22,23281,68085,-44804
256823,9817,2023-05-29,74501,50290,24211
461648,7401,2023-08-18,74285,31338,42947
741060,1517,2023-05-10,42880,43433,-553
952967,1497,2021-10-15,85810,58829,26981
640262,5705,2023-06-10,3866,23169,-19303
933677,6290,2021-11-06,25437,72514,-47077
912276,5749,2022-09-08,27645,48330,-20685
224707,9694,2021-12-09,61901,23527,38374
594427,4261,2024-03-04,72863,97866,-25003
748242,1537,2022-07-24,26862,1839,25023
635036,1250,2022-12-09,30143,46161,-16018
695138,2623,2022-11-21,78893,84608,-5715
887160,5705,2024-03-21,69359,95792,-26433
966339,5459,2022-07-12,42210,93845,-51635
579372,2251,2023-07-17,60751,51364,9387
156011,1785,2022-05-25,4907,77823,-72916
171834,5986,2021-10-27,73885,82142,-8257
621460,5158,2022-09-23,9983,12009,-2026
489010,8976,2023-01-10,87829,59836,27993
279710,1176,2022-09-08,54575,22843,31732
746077,1807,2023-06-11,80738,20165,60573
893267,9535,2024-04-18,94005,93141,864
460986,9207,2022-12-15,20357,39174,-18817
196252,6726,2022-05-25,56583,29105,27478
577521,1118,2022-02-21,20582,30434,-9852
518635,1208,2022-05-02,74939,78843,-3904
492986,2711,2024-07-23,1637,56007,-54370
134425,4735,2022-08-14,18394,47666,-29272
136887,7771,2022-03-28,46378,82786,-36408
850188,2937,2023-06-08,49637,1439,48198
113713,8800,2021-10-26,3775,71461,-67686
648267,2902,2022-07-03,61977,62733,-756
258841,8800,2023-04-09,9716,61064,-51348
792072,9322,2022-08-26,36036,61608,-25572
560951,6083,2024-01-13,93327,47246,46081
821847,9901,2022-12-23,65378,69713,-4335
824597,6563,2022-01-06,92255,78192,14063
686920,6663,2022-12-03,96868,43561,53307
932597,2672,2022-12-02,92591,53784,38807
315757,3292,2022-08-01,26729,55848,-29119
813792,4237,2022-05-30,11814,85698,-73884
289019,8011,2023-04-02,24145,12822,11323
333692,3832,2024-07-24,37727,73442,-35715
358195,4663,2024-02-16,96089,57449,38640
326770,8351,2023-12-12,18244,63994,-45750
443290,7204,2024-05-09,13793,84271,-70478
247842,3776,2022-08-14,85241,32421,52820
393407,2476,2024-05-03,24243,11887,12356
772923,5916,2024-03-17,72685,56575,16110
793546,5240,2022-07-24,7185,71165,-63980
375456,7166,2023-02-02,9015,62325,-53310
274812,9672,2024-05-24,72569,90916,-18347
697158,6685,2023-07-29,55877,11227,44650
111930,1948,2024-04-05,4049,9349,-5300
374677,9010,2024-04-03,23178,49049,-25871
720841,5814,2023-09-16,12384,42551,-30167
698205,3292,2022-07-12,93487,71948,21539
141135,9943,2024-07-07,69433,42864,26569
276219,9441,2024-07-13,15509,7752,7757
339146,8725,2023-12-07,36307,26583,9724
940402,3267,2022-01-07,27499,94651,-67152
655663,4947,2022-01-20,7881,47965,-40084
696541,4243,2023-06-19,75754,79172,-3418
212876,8968,2024-07-14,60774,7804,52970
326480,9223,2023-05-03,29059,15453,13606
166994,6690,2024-06-16,11234,90098,-78864
479989,2821,2022-06-09,86048,19089,66959
643418,2991,2021-12-23,33927,50808,-16881
755886,2045,2024-03-30,25749,63308,-37559
708799,9981,2023-10-15,39759,59952,-20193
469230,6371,2023-06-06,11052,61892,-50840
711989,8740,2022-12-15,33902,54464,-20562
958121,6280,2022-01-30,51471,1257,50214
862120,3721,2022-10-13,33430,59752,-26322
669572,7152,2024-03-24,79912,88828,-8916
940233,4595,2024-03-17,92984,53579,39405
168650,7264,2023-11-02,65767,71131,-5364
194999,4399,2024-09-08,30200,52567,-22367
657599,2623,2024-03-07,54249,17715,36534
169084,1768,2022-02-28,36728,7612,29116
609608,7152,2023-12-31,33936,44697,-10761
207324,9596,2023-06-04,43503,86169,-42666
299014,1227,2022-05-22,40188,93178,-52990
438204,7403,2023-11-05,38167,39126,-959
387230,4367,2021-09-30,62091,95631,-33540
246758,9865,2021-10-21,33022,8143,24879
521124,3572,2024-04-14,11696,69815,-58119
523839,2011,2021-10-28,24736,20959,3777
170029,7501,2023-02-26,51576,15260,36316
198870,1977,2023-04-08,89914,24146,65768
957012,9951,2023-05-23,18717,17215,1502
121667,2011,2023-03-11,70174,91632,-21458
543819,6016,2024-04-22,27197,52430,-25233
964049,1496,2021-12-12,49620,95741,-46121
359014,1807,2023-02-22,51562,23106,28456
960221,5157,2024-05-28,14540,60751,-46211
819221,1103,2023-06-04,46573,34777,11796
128090,6965,2022-06-21,86586,4772,81814
990940,2013,2024-02-25,26193,43966,-17773
247813,8702,2024-05-14,68080,60457,7623
241050,8011,2023-04-05,6474,38091,-31617
457161,6324,2022-12-28,74137,13590,60547
122449,1767,2022-10-19,35296,3207,32089
213853,6023,2022-01-16,19663,67571,-47908
375631,9010,2022-06-15,61473,93138,-31665
553183,9317,2024-04-28,69066,7860,61206
454435,1882,2023-05-13,32640,66070,-33430
618801,2821,2022-02-16,35292,39035,-3743
723604,5957,2022-04-23,12472,82572,-70100
107989,3450,2023-11-14,93322,6442,86880
369044,1496,2022-10-08,31038,69367,-38329
104989,1082,2021-11-18,78091,87930,-9839
806244,7662,2024-02-17,7493,8227,-734
629845,3572,2023-04-25,93791,95181,-1390
513441,6290,2024-06-30,49948,7183,42765
595845,4896,2024-06-11,16306,75999,-59693
983538,4900,2021-09-29,88414,61905,26509
844638,8483,2024-07-30,23272,35004,-11732
892630,2013,2023-10-25,8245,93676,-85431
913824,5953,2022-12-24,15276,71130,-55854
601190,9082,2024-09-05,9634,54715,-45081
287776,3030,2022-07-20,44646,39645,5001
989383,7680,2024-06-27,67884,24655,43229
483942,2139,2023-06-19,63003,83578,-20575
285227,2556,2022-05-06,47433,88184,-40751
714184,2984,2021-11-17,7315,90055,-82740
538247,7403,2023-04-07,11365,72573,-61208
760906,9441,2023-08-20,17355,57528,-40173
730895,1566,2023-10-06,69758,11944,57814
741280,1496,2022-07-12,51470,36720,14750
666794,4574,2023-02-04,69315,37336,31979
299662,2476,2023-07-04,6299,47401,-41102
296471,9865,2022-04-25,30192,19262,10930
309911,9619,2022-02-28,37401,93871,-56470
662367,8350,2022-04-24,99397,93598,5799
500465,8925,2024-09-05,53104,10687,42417
609300,7225,2022-11-23,50336,97759,-47423
598000,8166,2022-08-04,86343,41427,44916
548750,9478,2022-04-13,30708,91778,-61070
251357,9116,2022-02-17,38250,13768,24482
773575,4107,2023-10-12,26761,82890,-56129
770906,4461,2024-08-15,91405,53649,37756
932660,8968,2022-10-02,3233,21608,-18375
885792,9743,2023-03-19,86735,90342,-3607
202657,5322,2022-11-08,84759,45674,39085
662433,9787,2023-04-11,81233,92660,-11427
429292,4261,2024-03-25,78588,38368,40220
497150,5953,2024-06-19,69036,86765,-17729
151786,1537,2024-07-01,87701,61649,26052
270415,1566,2021-11-28,82532,3041,79491
931512,2991,2022-07-21,44467,41657,2810
255145,8800,2022-05-11,55961,28118,27843
822841,3692,2023-01-13,62972,86703,-23731
843979,8442,2023-02-11,99401,62125,37276
686874,9248,2022-12-20,78308,18856,59452
598691,4241,2023-01-23,20532,21893,-1361
951749,7330,2022-11-27,95367,61055,34312
866432,4084,2023-04-02,81880,93236,-11356
779381,3326,2022-08-01,56502,43551,12951
894998,7401,2024-06-09,64167,61245,2922
630501,1977,2024-08-24,60770,47757,13013
520715,5575,2022-04-09,45275,16639,28636
174715,4465,2022-03-04,31787,81228,-49441
964297,9023,2022-12-19,35349,22624,12725
248639,7225,2021-11-13,30666,87077,-56411
731849,1118,2024-01-25,80629,76675,3954
614426,1537,2023-08-07,57612,7871,49741
551476,7264,2022-01-06,47064,54763,-7699
312569,6290,2022-01-15,75845,67121,8724
392604,8442,2023-11-08,37333,71584,-34251
226293,4950,2022-09-03,95618,25656,69962
340313,8036,2024-08-20,27083,46257,-19174
543978,1396,2023-04-03,28807,4816,23991
609249,4595,2023-02-25,17716,97403,-79687
100738,5604,2022-02-09,31834,21048,10786
597535,5126,2023-02-15,90521,32357,58164
114594,4574,2022-05-07,56138,47320,8818
705210,9903,2023-05-29,27989,14521,13468
192859,8036,2023-11-03,43185,43614,-429
334705,2105,2024-04-30,35211,27635,7576
101960,8442,2023-09-08,7271,45181,-37910
916357,8343,2023-08-11,87200,86266,934
336914,7359,2023-01-07,37983,99570,-61587
462472,8350,2022-10-01,48146,99228,-51082
617415,3832,2023-10-22,32963,43060,-10097
681560,1711,2023-10-09,60670,10080,50590
376380,2398,2021-12-23,85927,65135,20792
575847,3222,2024-05-30,30966,88670,-57704
146219,8905,2022-08-02,85918,65240,20678
665108,4208,2022-12-08,3804,69775,-65971
236744,5597,2021-12-14,30071,24601,5470
553947,8953,2021-10-14,22124,92543,-70419
470810,9010,2023-03-20,29692,42236,-12544
538092,6965,2022-10-28,80819,22928,57891
933031,1308,2022-11-02,53090,30257,22833
974200,5068,2022-06-22,25577,25255,322
812624,1173,2023-11-01,66928,80716,-13788
772577,9474,2024-03-01,72844,54204,18640
733716,9353,2023-01-06,41221,3665,37556
181292,9538,2022-10-03,61601,36789,24812
122434,2193,2022-04-18,22229,66506,-44277
305342,1517,2024-03-04,10758,14168,-3410
898704,7635,2024-08-13,25499,82845,-57346
730094,9132,2022-08-14,36124,6740,29384
929413,5953,2022-12-14,71305,30941,40364
874643,4261,2023-06-05,55344,36404,18940
107534,5319,2024-02-18,36458,17150,19308
185400,5889,2024-01-14,18706,89312,-70606
541813,7530,2023-12-29,3987,89345,-85358
970303,6539,2024-03-07,62940,10081,52859
880726,5330,2023-05-08,3850,72716,-68866
891886,6205,2021-09-25,97278,92891,4387
506700,5247,2024-07-05,1078,79474,-78396
820977,6965,2022-07-22,36110,97915,-61805
560928,2623,2023-02-15,69176,52748,16428
955193,1869,2024-03-21,80136,53476,26660
983270,9322,2024-06-13,84700,14642,70058
266534,4261,2023-04-08,36520,50892,-14372
860016,2991,2022-01-24,30858,5638,25220
657053,2085,2022-08-19,49739,30931,18808
541631,1165,2021-10-17,73941,17843,56098
686810,3291,2023-08-30,33494,24742,8752
168970,8130,2024-02-16,94317,92361,1956
122043,6149,2021-11-23,16203,85830,-69627
829782,4703,2024-07-18,49816,31568,18248
340251,9470,2023-02-07,12128,82748,-70620
144388,5685,2021-10-09,1995,52829,-50834
424562,6726,2022-06-18,26474,12603,13871
840377,4059,2021-10-17,13286,39334,-26048
521236,5158,2022-11-19,30581,70366,-39785
748747,9538,2024-08-18,78607,42643,35964
865440,5336,2022-01-22,33356,39354,-5998
970986,4798,2023-05-09,38947,88980,-50033
307679,8516,2023-03-26,28545,74271,-45726
486858,8725,2024-09-13,44412,59215,-14803
679719,3572,2024-09-17,76768,80365,-3597
522222,6324,2023-03-20,86355,57221,29134
983860,6115,2022-12-29,13250,91494,-78244
919026,7818,2024-03-09,25049,13655,11394
163988,4950,2023-05-24,17080,29832,-12752
813873,5966,2023-04-05,94733,38656,56077
575899,4811,2022-01-03,56702,78197,-21495
283144,9644,2024-06-13,71443,2476,68967
854571,1302,2022-03-04,86189,44259,41930
540663,8999,2022-07-14,13631,3546,10085
231826,3023,2023-03-27,26283,5308,20975
736532,4309,2024-01-25,48595,76963,-28368
501703,1537,2021-12-13,29221,34956,-5735
789851,2085,2022-08-31,33706,15184,18522
911384,2192,2022-01-19,86947,20563,66384
807853,9010,2023-07-20,6024,59130,-53106
673889,7771,2022-08-04,96203,3420,92783
504863,3023,2024-02-13,13045,34547,-21502
924621,1902,2021-11-25,63012,50752,12260
308068,5853,2024-07-03,83585,4708,78877
779097,4461,2021-09-29,10046,47635,-37589
822186,1396,2024-03-31,95482,42376,53106
251872,2939,2023-02-24,10667,58442,-47775
898004,6539,2021-12-22,15541,4603,10938
993342,1250,2023-11-27,50353,50908,-555
391132,4889,2022-07-04,22597,25022,-2425
265747,2251,2022-12-04,16852,75156,-58304
856512,8797,2024-02-06,72363,18604,53759
250505,3015,2023-05-30,49884,96603,-46719
708307,6726,2023-03-20,9217,78162,-68945
705999,2105,2022-10-07,36148,15563,20585
357296,6541,2024-01-21,48662,68593,-19931
117681,6965,2021-12-02,10054,97207,-87153
974284,9327,2024-06-24,90966,87357,3609
296968,7072,2024-08-08,10879,56021,-45142
414473,3015,2022-08-10,17591,41329,-23738
933381,4309,2023-07-27,46376,82534,-36158
128645,2902,2022-11-16,45040,63074,-18034
685434,3934,2022-07-01,33328,26589,6739
582858,5770,2024-03-02,29914,53041,-23127
270811,4574,2024-03-24,46038,7523,38515
937599,6332,2022-12-20,94209,52441,41768
104864,7263,2022-09-19,96783,90030,6753
863599,7771,2024-06-18,96896,46501,50395
952261,5459,2023-11-17,43644,54324,-10680
121832,9981,2024-03-09,5353,31150,-25797
596855,7290,2022-03-14,48798,44092,4706
843551,8582,2024-07-07,78575,33877,44698
187176,2672,2024-06-09,93889,21792,72097
677782,5071,2022-03-15,76225,85471,-9246
142155,1711,2021-10-31,23719,19072,4647
611458,7239,2024-02-02,98712,77975,20737
825187,8968,2022-09-07,41138,19969,21169
396466,7810,2024-05-29,45711,75164,-29453
743702,1732,2024-07-06,14784,48476,-33692
642706,1504,2022-05-11,23152,74163,-51011
779161,7290,2022-01-19,86258,4576,81682
368255,7204,2021-12-29,80499,31414,49085
445682,8011,2024-05-30,61862,66392,-4530
737140,4703,2023-11-09,96280,9467,86813
534969,2902,2023-12-26,83516,41284,42232
342482,8218,2023-05-01,11613,44174,-32561
431969,9841,2024-03-20,54144,5864,48280
887853,9787,2023-03-22,37889,88500,-50611
913434,5247,2023-11-25,2912,5884,-2972
790439,3712,2021-12-09,85436,59306,26130
665155,4198,2021-12-02,46880,92880,-46000
264534,4950,2023-01-23,54362,17112,37250
127501,8992,2023-06-22,97994,55832,42162
624735,9951,2023-02-24,79965,24243,55722
867475,2868,2023-06-26,41706,48582,-6876
258488,8218,2021-10-11,87163,25487,61676
360093,9309,2023-07-07,75736,29450,46286
446426,4574,2023-11-16,13906,96388,-82482
543027,8026,2022-01-26,22928,16330,6598
264140,2901,2022-10-31,59279,42097,17182
483757,2982,2022-01-08,80331,13727,66604
429690,7530,2023-06-05,94775,65732,29043
787297,6371,2024-03-05,75680,54314,21366
530554,9023,2023-02-20,74563,40776,33787
233219,9943,2023-10-25,87671,69618,18053
694760,1118,2022-05-10,44623,66201,-21578
415504,4086,2023-12-20,8812,51781,-42969
539047,1768,2024-04-26,99530,50405,49125
571687,2745,2023-01-12,23131,76796,-53665
262371,9865,2024-01-07,15375,80028,-64653
559508,2288,2022-02-07,1030,98298,-97268
159201,8968,2023-11-10,6768,68144,-61376
370595,3030,2024-07-03,98415,42812,55603
155848,9865,2023-12-09,54462,47068,7394
950056,9322,2023-03-16,75773,53388,22385
508571,6690,2022-10-29,17423,9085,8338
927589,5180,2021-11-23,19977,14419,5558
592164,7898,2022-08-01,35021,4661,30360
768453,2821,2024-06-10,93386,58593,34793
176714,8357,2023-10-24,30922,71589,-40667
759980,4208,2022-11-06,21467,33746,-12279
451762,4461,2022-01-10,98461,16707,81754
661539,3692,2023-02-12,43686,23295,20391
937062,4532,2024-08-21,32668,5439,27229
185683,1063,2021-10-13,7069,1800,5269
364104,9435,2023-02-24,31791,56000,-24209
582084,5385,2022-03-04,31797,54615,-22818
988178,4237,2022-12-30,90191,53521,36670
768258,2230,2022-09-18,57373,55834,1539
883428,8817,2022-04-21,29454,42034,-12580
970328,1750,2024-01-03,77959,50829,27130
874282,3051,2021-12-10,58522,10549,47973
374845,3887,2023-06-01,98482,38365,60117
965201,7415,2023-10-12,86496,88234,-1738
357396,6379,2022-04-14,3229,82203,-78974
876242,7510,2021-12-28,47137,20413,26724
499516,6016,2023-04-22,78209,78615,-406
299582,3022,2022-06-11,81230,70981,10249
631863,9981,2022-02-01,11424,11821,-397
120583,9248,2024-09-23,76329,99076,-22747
205605,4798,2024-01-12,73060,66814,6246
644605,2215,2022-09-13,35215,12349,22866
873984,4237,2024-07-23,81297,46102,35195
746139,4059,2023-03-22,30535,26459,4076
546484,7680,2022-03-06,5347,32814,-27467
915201,2288,2023-07-17,67880,86456,-18576
448965,8357,2024-07-25,97462,33061,64401
586027,4676,2022-07-30,35360,67616,-32256
695202,4676,2023-09-16,39643,93216,-53573
477217,3308,2022-07-22,53277,97669,-44392
423193,3828,2022-09-03,44160,8730,35430
551368,5328,2024-06-16,81582,84287,-2705
708305,7635,2023-08-20,78700,55430,23270
870504,8357,2022-07-31,73730,37289,36441
857126,4177,2024-04-09,79535,23498,56037
681234,2217,2022-09-11,68930,88527,-19597
835529,3144,2022-02-03,45441,82388,-36947
626760,1341,2024-04-16,25173,62060,-36887
604221,1208,2024-03-23,43154,67585,-24431
356422,6821,2022-06-23,77847,15559,62288
529826,7818,2024-06-15,7656,32298,-24642
549675,9128,2024-02-16,35695,36152,-457
933892,8030,2022-05-13,28712,78553,-49841
429787,9787,2023-07-20,58590,37301,21289
818882,5953,2023-07-11,25014,48269,-23255
255063,1063,2022-08-04,71474,1492,69982
691611,5382,2022-01-19,23322,30688,-7366
389426,2176,2024-04-28,70905,88533,-17628
728133,7510,2022-11-28,65682,74537,-8855
777508,6352,2021-12-13,49218,2197,47021
616506,3851,2024-02-20,99110,48219,50891
124454,6688,2022-06-14,26962,87973,-61011
838455,8905,2021-12-25,29628,25917,3711
601922,4663,2021-11-20,37502,12155,25347
875102,1008,2022-08-04,4657,59057,-54400
397572,6691,2022-07-11,31294,12213,19081
397553,2398,2024-08-15,41964,98886,-56922
389801,8218,2022-04-12,78796,7261,71535
417407,8469,2022-11-12,85488,19548,65940
411470,9128,2021-10-28,51961,1910,50051
540383,2857,2022-09-02,15013,64260,-49247
260764,4100,2023-11-28,89974,15921,74053
699118,9207,2023-05-09,21300,26785,-5485
115254,9731,2023-07-23,29060,38438,-9378
781997,2450,2023-04-23,63013,41660,21353
888711,9116,2022-05-19,91127,88666,2461
138700,6290,2022-11-03,8726,35309,-26583
569854,6452,2022-10-18,27008,9200,17808
649070,2408,2024-07-03,99823,11338,88485
290483,8218,2022-05-12,19294,31755,-12461
946483,8740,2023-01-12,72396,54485,17911
822997,4237,2022-04-10,7706,4352,3354
279813,8970,2023-10-20,56440,65428,-8988
511744,6759,2023-05-20,38765,22274,16491
519259,7470,2022-02-21,50094,56187,-6093
146360,4689,2021-10-01,53365,4274,49091
365700,8992,2023-05-01,40268,22073,18195
218335,3326,2022-10-10,68093,43500,24593
868859,7359,2023-07-13,26088,11546,14542
685635,7166,2024-09-24,75536,80897,-5361
907103,5965,2024-04-03,99122,69457,29665
450731,1537,2023-11-26,24727,63606,-38879
596072,4896,2021-11-01,95007,40641,54366
666894,1768,2023-01-10,47981,40809,7172
721076,2176,2022-02-11,78052,32540,45512
135942,4227,2022-05-01,93019,44666,48353
347292,8350,2023-11-30,93999,35140,58859
210293,9060,2022-05-01,43934,12888,31046
275056,7401,2022-07-09,46841,46308,533
422837,9010,2022-03-06,46674,16163,30511
968410,8992,2023-05-30,98068,55191,42877
645571,1148,2024-07-29,4212,77108,-72896
453380,7359,2023-06-16,80589,56444,24145
685787,6965,2021-10-26,13473,84016,-70543
677114,4606,2022-07-15,15806,51627,-35821
723446,9055,2022-06-21,20053,42417,-22364
495975,8462,2023-11-11,89441,43253,46188
528427,1880,2022-03-12,14933,51744,-36811
782585,1948,2023-05-12,88858,39685,49173
378087,3326,2022-03-14,81532,23182,58350
577165,1808,2021-11-09,55356,61765,-6409
930013,8797,2024-02-20,81491,2830,78661
217848,7501,2023-09-28,62099,98667,-36568
